,subject,exam_type,class,hours_of_studying,participation_in_group,group_parlagrims,individual_paralligms,assigments_individual,assigments_group,previous_marks,panctuality,Predicted Marks
0,0,0,1,37.5,57.14285714285714,33.333333333333336,50.25,51.44444444444444,51.44444444444444,21,72.22222222222221,13
1,1,1,6,69.42760942760943,14.285714285714285,0.0,44.375,0.0,0.0,12,20.0,9
2,2,2,3,86.52612282309808,0.0,54.75,50.0,44.5,44.5,48,16.666666666666664,4
3,3,3,6,58.359621451104104,20.0,49.8,72.33333333333333,46.0,46.0,66,50.0,8
4,4,2,3,10.29874213836478,28.57142857142857,59.3,45.666666666666664,44.7,44.7,96,55.00000000000001,12
5,5,0,3,78.18756585879873,100.0,28.0,0.0,85.66666666666667,85.66666666666667,90,62.5,48
6,6,2,3,91.80187873612297,0.0,54.0,0.0,46.857142857142854,46.857142857142854,55,38.46153846153847,20
7,2,1,2,61.63384390955506,0.0,65.66666666666667,33.25,48.333333333333336,48.333333333333336,44,66.66666666666666,9
8,7,2,5,55.55555555555556,0.0,77.66666666666667,54.25,63.666666666666664,63.666666666666664,59,46.666666666666664,0
9,8,0,1,70.33639143730886,75.0,38.0,45.142857142857146,52.285714285714285,52.285714285714285,66,60.0,28
10,6,2,5,64.44444444444444,50.0,64.55555555555556,37.9,63.111111111111114,63.111111111111114,82,73.33333333333333,24
11,5,4,1,89.32584269662921,60.0,34.75,54.8,73.0,73.0,35,66.66666666666666,22
12,4,0,5,71.4827096162956,0.0,57.4,48.25,46.8,46.8,42,60.0,7
13,9,4,1,25.609756097560975,100.0,55.77777777777778,0.0,43.44444444444444,43.44444444444444,86,61.111111111111114,34
14,2,0,6,13.39375629405841,100.0,52.75,72.5,63.25,63.25,64,33.33333333333333,9
15,10,4,6,18.785094435936703,0.0,54.5,0.0,53.666666666666664,53.666666666666664,26,70.0,7
16,6,4,5,35.622317596566525,100.0,40.857142857142854,42.666666666666664,52.42857142857143,52.42857142857143,9,41.17647058823529,11
17,11,4,4,36.99551569506727,14.285714285714285,66.5,42.5,41.833333333333336,41.833333333333336,97,41.66666666666667,11
18,12,2,5,14.117647058823529,33.33333333333333,47.666666666666664,29.5,42.333333333333336,42.333333333333336,30,52.94117647058824,5
19,9,4,4,20.507246376811594,30.0,65.0,45.3,80.5,80.5,85,45.45454545454545,9
20,1,4,3,95.91836734693877,33.33333333333333,50.333333333333336,59.0,43.888888888888886,43.888888888888886,100,55.55555555555556,26
21,5,0,2,19.488296135002724,55.55555555555556,50.2,54.0,31.2,31.2,63,33.33333333333333,8
22,12,4,6,92.34972677595628,0.0,54.0,58.6,60.0,60.0,100,45.45454545454545,18
23,13,4,5,0.22271714922048996,90.0,37.166666666666664,0.0,67.16666666666667,67.16666666666667,29,69.23076923076923,22
24,4,3,2,70.45790251107829,22.22222222222222,59.888888888888886,66.375,55.0,55.0,78,44.44444444444444,11
25,1,0,3,55.07028112449799,57.14285714285714,47.0,60.285714285714285,66.625,66.625,36,44.44444444444444,9
26,14,1,4,10.13953488372093,80.0,0.0,60.44444444444444,0.0,0.0,71,66.66666666666666,26
27,15,0,6,77.55681818181817,55.55555555555556,61.5,51.5,52.5,52.5,10,60.0,8
28,4,0,6,79.9079754601227,33.33333333333333,38.0,38.8,52.44444444444444,52.44444444444444,62,54.54545454545454,22
29,10,1,6,67.63157894736842,50.0,0.0,69.5,0.0,0.0,70,50.0,25
